year,region,mtumors,syncmtumors,insitu,ncervix
9,2010,Автономна pеспубліка Крим,585,165,39,25
10,2010,Вінницька,356,112,113,103
11,2010,Волинська,177,50,81,77
12,2010,Дніпропетровська,767,212,174,150
13,2010,Донецька,906,234,57,24
14,2010,Житомирська,285,94,33,30
15,2010,Закарпатська,126,47,39,35
16,2010,Запорізька,456,120,55,26
17,2010,Івано-Франківська,163,35,33,24
18,2010,Київська,337,85,30,25
19,2010,Кіровоградська,368,148,23,15
20,2010,Луганська,526,166,34,18
21,2010,Львівська,486,122,221,205
22,2010,Миколаївська,372,94,13,8
23,2010,Одеська,403,110,46,35
24,2010,Полтавська,323,66,33,28
25,2010,Рівненська,173,52,23,22
26,2010,Сумська,292,66,25,13
27,2010,Тернопільська,226,72,37,26
28,2010,Харківська,546,146,141,102
29,2010,Херсонська,376,130,32,27
30,2010,Хмельницька,274,60,53,15
31,2010,Черкаська,314,130,44,22
32,2010,Чернівецька,131,33,22,13
33,2010,Чернігівська,272,75,17,7
34,2010,м.Київ,770,186,81,47
9,2011,Автономна pеспубліка Крим,606,190,57,39
10,2011,Вінницька,337,77,90,80
11,2011,Волинська,201,63,110,109
12,2011,Дніпропетровська,822,210,147,125
13,2011,Донецька,943,224,36,13
14,2011,Житомирська,320,108,46,33
15,2011,Закарпатська,122,28,57,53
16,2011,Запорізька,516,142,21,11
17,2011,Івано-Франківська,175,31,33,16
18,2011,Київська,392,120,47,27
19,2011,Кіровоградська,347,117,25,20
20,2011,Луганська,488,134,53,29
21,2011,Львівська,481,126,186,181
22,2011,Миколаївська,355,48,35,25
23,2011,Одеська,413,134,38,26
24,2011,Полтавська,351,101,50,45
25,2011,Рівненська,164,40,76,73
26,2011,Сумська,305,66,16,9
27,2011,Тернопільська,181,44,55,39
28,2011,Харківська,561,123,110,67
29,2011,Херсонська,382,119,31,26
30,2011,Хмельницька,293,60,92,31
31,2011,Черкаська,345,129,36,14
32,2011,Чернівецька,126,22,12,8
33,2011,Чернігівська,336,114,27,15
34,2011,м.Київ,891,187,86,53
9,2019,АР Крим,0,0,0,0
10,2019,Вінницька,435,113,54,30
11,2019,Волинська,225,64,49,39
12,2019,Дніпропетровська,941,266,118,74
13,2019,Донецька,402,124,30,9
14,2019,Житомирська,346,84,128,107
15,2019,Закарпатська,183,68,22,16
16,2019,Запорізька,550,165,33,14
17,2019,Івано-Франківська,264,85,83,10
18,2019,Київська,513,161,19,14
19,2019,Кіровоградська,468,164,77,50
20,2019,Луганська,184,60,27,10
21,2019,Львівська,701,178,268,231
22,2019,Миколаївська,296,48,28,19
23,2019,Одеська,519,142,90,54
24,2019,Полтавська,437,128,40,27
25,2019,Рівненська,189,62,27,21
26,2019,Сумська,342,89,50,42
27,2019,Тернопільська,250,64,198,15
28,2019,Харківська,933,337,142,55
29,2019,Херсонська,504,161,25,16
30,2019,Хмельницька,319,73,38,14
31,2019,Черкаська,414,163,28,9
32,2019,Чернівецька,138,38,13,10
33,2019,Чернігівська,349,91,23,7
34,2019,м.Київ,1210,323,104,50
9,2008,Автономна pеспубліка Крим,512,134,36,27
10,2008,Вінницька,293,69,115,96
11,2008,Волинська,155,32,59,57
12,2008,Дніпропетровська,773,206,206,169
13,2008,Донецька,846,242,39,25
14,2008,Житомирська,277,91,30,24
15,2008,Закарпатська,115,48,15,9
16,2008,Запорізька,352,120,36,16
17,2008,Івано-Франківська,161,60,27,21
18,2008,Київська,341,90,25,22
19,2008,Кіровоградська,225,75,18,11
20,2008,Луганська,492,127,54,32
21,2008,Львівська,404,117,228,215
22,2008,Миколаївська,310,62,13,10
23,2008,Одеська,369,115,49,42
24,2008,Полтавська,376,103,30,21
25,2008,Рівненська,147,44,78,77
26,2008,Сумська,283,67,15,10
27,2008,Тернопільська,198,78,17,14
28,2008,Харківська,497,130,159,118
29,2008,Херсонська,250,39,25,19
30,2008,Хмельницька,256,36,34,11
31,2008,Черкаська,320,111,46,24
32,2008,Чернівецька,119,30,14,11
33,2008,Чернігівська,280,114,58,41
34,2008,м.Київ,700,168,92,52
9,2021,АР Крим,0,0,0,0
10,2021,Вінницька,416,129,30,11
