year,category,region,nhospotal,nbeds,ybeds,nill,nvillage_ill,bed_days,dvisits,hvisits,ndoctors,nnursing
2010,Обласні лікарні,Автономна pеспубліка Крим,1,915,915,28311,8623,311462,240561,0,434,704
2010,Обласні лікарні,Вінницька,1,746,746,24552,11705,259208,217841,0,337.25,605.5
2010,Обласні лікарні,Волинська,1,868,868,26444,12533,306823,171647,0,353.5,621.75
2010,Обласні лікарні,Дніпропетровська,1,1175,1175,36215,9752,413147,206066,0,412.25,716.25
2010,Обласні лікарні,Донецька,1,1105,1105,30527,3082,386940,573700,766,808.5,1200.5
2010,Обласні лікарні,Житомирська,1,835,835,28920,10535,299085,260477,0,315.25,672.5
2010,Обласні лікарні,Закарпатська,1,647,647,18761,11016,205598,105253,0,171.25,363
2010,Обласні лікарні,Запорізька,1,800,800,21065,10734,258313,127320,0,346,687.75
2010,Обласні лікарні,Івано-Франківська,1,800,800,25148,14226,274729,101792,0,357.5,684.75
2010,Обласні лікарні,Київська,2,1010,1004,33642,11865,336904,416200,0,519.25,925.25
2010,Обласні лікарні,Кіровоградська,1,905,905,27270,8449,330233,132028,0,359.5,705
2010,Обласні лікарні,Луганська,2,1130,1130,37184,4939,383514,355244,5091,441.25,801.5
2010,Обласні лікарні,Львівська,1,1110,1110,32635,12858,383095,111217,0,474,874
2010,Обласні лікарні,Миколаївська,1,510,510,16515,5847,175265,174495,0,251.25,344.5
2010,Обласні лікарні,Одеська,1,985,985,36037,14328,342111,246733,0,612.25,1055.25
2010,Обласні лікарні,Полтавська,1,715,715,22056,13468,243986,126471,0,311.5,576.25
2010,Обласні лікарні,Рівненська,1,725,725,21815,10982,257247,205654,0,363.75,647.75
2010,Обласні лікарні,Сумська,1,645,645,19174,6593,220706,118947,0,235,474.75
2010,Обласні лікарні,Тернопільська,1,665,665,20083,13876,234866,77089,0,219.25,398.5
2010,Обласні лікарні,Харківська,1,860,860,29891,9338,301388,173226,0,436.75,660.75
2010,Обласні лікарні,Херсонська,1,620,625.8,24344,9421,217868,259398,0,261.5,502.5
2010,Обласні лікарні,Хмельницька,1,875,861.7,26934,11198,285449,103648,0,272.5,543
2010,Обласні лікарні,Черкаська,1,978,978,31428,11410,334142,156054,0,314.25,704.75
2010,Обласні лікарні,Чернівецька,1,767,803.62,23729,12860,277714,89117,0,255.25,454.75
2010,Обласні лікарні,Чернігівська,1,730,730,21703,7756,240465,138906,0,194.25,450.75
2010,Обласні лікарні,м.Київ,0,0,0,0,0,0,0,0,0,0
2010,Обласні лікарні,м.Севастополь,0,0,0,0,0,0,0,0,0,0
2010,Дитячі обласні лікарні,Автономна pеспубліка Крим,1,410,410,12950,5564,133977,79729,0,245.75,389.5
2010,Дитячі обласні лікарні,Вінницька,1,450,450,14167,8777,151922,144787,0,206.25,391.5
2010,Дитячі обласні лікарні,Волинська,1,390,390,14257,8119,129642,75829,0,187.75,383.25
2010,Дитячі обласні лікарні,Дніпропетровська,1,410,410,16429,4256,145414,115294,0,195,304
2010,Дитячі обласні лікарні,Донецька,1,400,400,14293,958,137561,99369,0,183,363
2010,Дитячі обласні лікарні,Житомирська,1,430,430,15260,5838,146918,96253,0,176.5,446.5
2010,Дитячі обласні лікарні,Закарпатська,1,447,447,12209,6966,147350,272032,41639,168.5,349.5
2010,Дитячі обласні лікарні,Запорізька,1,450,450,11320,4226,134149,76756,0,151,313
2010,Дитячі обласні лікарні,Івано-Франківська,1,450,450,14114,7718,156404,84202,0,164,394.5
2010,Дитячі обласні лікарні,Київська,2,600,600,20729,8239,206169,96500,0,176.25,448
2010,Дитячі обласні лікарні,Кіровоградська,1,450,450,14190,3995,147201,41789,0,129.75,318
2010,Дитячі обласні лікарні,Луганська,1,500,500,15151,1962,161374,152109,0,235.25,413
2010,Дитячі обласні лікарні,Львівська,2,600,600,20241,8968,205045,138131,0,292.75,512.25
2010,Дитячі обласні лікарні,Миколаївська,1,510,510,15432,4838,162338,60045,0,195.25,417.5
2010,Дитячі обласні лікарні,Одеська,1,510,510,14527,7541,155083,115510,0,260.5,484.5
2010,Дитячі обласні лікарні,Полтавська,1,190,190,4843,3210,59953,156849,19144,108.25,215.25
2010,Дитячі обласні лікарні,Рівненська,1,375,375,12135,6237,127997,110704,0,168.75,371.5
2010,Дитячі обласні лікарні,Сумська,1,410,410,12615,5195,135364,91932,0,155.25,352.25
2010,Дитячі обласні лікарні,Тернопільська,1,405,405,13952,7091,138192,52930,0,155.5,325.75
2010,Дитячі обласні лікарні,Харківська,2,760,760,32146,5706,233097,120234,0,254.25,500.75
2010,Дитячі обласні лікарні,Херсонська,1,540,540,16703,9908,187170,81842,0,173.5,434.25
2010,Дитячі обласні лікарні,Хмельницька,1,250,250,6878,2975,86185,38053,0,65.5,132
2010,Дитячі обласні лікарні,Черкаська,0,0,0,0,0,0,0,0,0,0
2010,Дитячі обласні лікарні,Чернівецька,2,355,355,9467,5877,112320,64614,0,123.25,251.75
2010,Дитячі обласні лікарні,Чернігівська,1,530,530,15376,4274,163769,53647,0,147.25,435.75
2010,Дитячі обласні лікарні,м.Київ,1,620,620,17423,2965,194028,314463,0,496.75,859.5
2010,Дитячі обласні лікарні,м.Севастополь,0,0,0,0,0,0,0,0,0,0
2010,Міські лікарні,Автономна pеспубліка Крим,15,4004,3975,116491,11168,1308083,2749153,243964,1456.25,2915.25
2010,Міські лікарні,Вінницька,13,1285,1285,40192,4838,417776,1606831,214835,589.5,1136.5
2010,Міські лікарні,Волинська,4,1083,1083,34336,4798,379752,629035,52483,351.25,785.25
2010,Міські лікарні,Дніпропетровська,67,15327,15476,454432,18323,5286791,16901289,1490779,6387.75,12525.25
2010,Міські лікарні,Донецька,99,17970,18004,573568,18315,6090049,27500107,2251282,8773.25,19364.25
2010,Міські лікарні,Житомирська,17,2065,2065,75515,11437,680029,3530825,501826,1196.25,2366.5
2010,Міські лікарні,Закарпатська,10,660,660,21167,6380,231448,326862,68756,220.75,457
2010,Міські лікарні,Запорізька,14,3910,3910,114020,6620,1350151,4018972,543576,1783.75,3470.25
2010,Міські лікарні,Івано-Франківська,16,1645,1645,48706,16345,533766,1033616,118097,575.5,1172.25
2010,Міські лікарні,Київська,8,1580,1581,50567,6206,536934,1540372,184948,718,1448.25
2010,Міські лікарні,Кіровоградська,10,1302,1314,41761,2686,435812,1017665,109539,467.75,1182.5
2010,Міські лікарні,Луганська,49,9334,9397,284172,7115,3173167,9966134,760961,3793,7967.5
2010,Міські лікарні,Львівська,33,4933,4955,148733,32226,1698807,5881308,760451,2087.75,4459.25
2010,Міські лікарні,Миколаївська,8,1551,1555,46972,6280,533967,1373162,102771,632.75,1437
2010,Міські лікарні,Одеська,25,5160,5159,141097,17119,1709937,3587948,441877,1991.25,3930.25
2010,Міські лікарні,Полтавська,13,1992,1995,67202,4633,662010,3156725,350780,1221.25,2391.75
2010,Міські лікарні,Рівненська,6,1550,1546,49400,11794,529809,1094358,91723,560.25,1259.75
2010,Міські лікарні,Сумська,14,1260,1262.9,38292,4433,411303,1441449,171734,566.25,1277.5
2010,Міські лікарні,Тернопільська,2,675,675,19864,1977,224817,792652,138785,371.5,663.75
2010,Міські лікарні,Харківська,33,5980,5940,196275,15590,1977443,5613633,444554,2367.25,4870
2010,Міські лікарні,Херсонська,5,1802,1806.8,58522,4109,623816,4012237,507910,1222.5,2248.75
2010,Міські лікарні,Хмельницька,3,1450,1450,47650,4774,467355,520861,28158,454,944.25
2010,Міські лікарні,Черкаська,11,1780,1788,53639,7779,589654,1125781,111865,510.5,1321.75
2010,Міські лікарні,Чернівецька,7,582,613.39,18704,3122,222017,413095,52155,181.25,377.5
2010,Міські лікарні,Чернігівська,6,2282,2280.6,65269,3052,758660,2330643,311082,933,2204.5
2010,Міські лікарні,м.Київ,21,9740,9740,281292,9158,2970247,1242438,25771,2956.25,5891
2010,Міські лікарні,м.Севастополь,7,1957,1957,65994,3262,640508,2755029,291414,1390.25,2500.75
