total,hospitals,chospitals,maternity_hospitals,clinic,onc_clinic,other,region,year,category
298,55,1,7,181,1,21,Автономна pеспубліка Крим,2010,Число закладів
325,100,1,3,191,1,15,Вінницька,2010,Число закладів
162,46,1,1,96,1,8,Волинська,2010,Число закладів
391,134,1,10,186,2,31,Дніпропетровська,2010,Число закладів
448,141,1,14,177,6,59,Донецька,2010,Число закладів
291,64,1,1,200,1,17,Житомирська,2010,Число закладів
315,54,1,1,244,1,7,Закарпатська,2010,Число закладів
258,65,1,4,137,2,22,Запорізька,2010,Число закладів
227,50,1,5,134,2,13,Івано-Франківська,2010,Число закладів
329,76,2,3,222,2,12,Київська,2010,Число закладів
192,56,1,2,107,2,10,Кіровоградська,2010,Число закладів
305,92,1,13,121,4,28,Луганська,2010,Число закладів
352,94,2,4,206,1,24,Львівська,2010,Число закладів
177,48,1,2,108,1,6,Миколаївська,2010,Число закладів
339,98,1,5,182,1,26,Одеська,2010,Число закладів
328,90,1,2,201,2,17,Полтавська,2010,Число закладів
189,54,1,1,103,2,18,Рівненська,2010,Число закладів
214,53,1,2,136,1,11,Сумська,2010,Число закладів
230,49,1,1,153,1,12,Тернопільська,2010,Число закладів
439,89,2,5,287,1,20,Харківська,2010,Число закладів
165,56,1,1,92,1,9,Херсонська,2010,Число закладів
216,67,1,1,124,1,12,Хмельницька,2010,Число закладів
222,76,0,2,123,1,13,Черкаська,2010,Число закладів
205,45,2,1,138,1,8,Чернівецька,2010,Число закладів
201,71,1,1,103,1,12,Чернігівська,2010,Число закладів
177,35,1,11,72,0,31,м.Київ,2010,Число закладів
21,9,0,0,1,1,6,м.Севастополь,2010,Число закладів
92,47,1,7,13,1,7,Автономна pеспубліка Крим,2010,"Чис.закл.,які мають:рентг.від.(каб)"
91,66,1,2,5,1,9,Вінницька,2010,"Чис.закл.,які мають:рентг.від.(каб)"
44,30,1,1,4,1,3,Волинська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
165,99,1,10,15,2,22,Дніпропетровська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
240,122,1,14,30,6,41,Донецька,2010,"Чис.закл.,які мають:рентг.від.(каб)"
55,38,1,1,5,1,5,Житомирська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
51,37,1,1,2,1,5,Закарпатська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
106,49,1,4,21,2,11,Запорізька,2010,"Чис.закл.,які мають:рентг.від.(каб)"
73,38,1,4,5,2,7,Івано-Франківська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
74,52,2,1,5,2,6,Київська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
59,35,1,2,5,2,6,Кіровоградська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
140,75,1,10,16,4,15,Луганська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
117,72,2,4,9,1,15,Львівська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
52,27,1,2,13,1,3,Миколаївська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
128,66,1,5,21,1,20,Одеська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
87,61,1,2,3,2,8,Полтавська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
66,39,1,1,4,2,13,Рівненська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
42,26,1,2,1,1,7,Сумська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
58,39,1,1,4,1,3,Тернопільська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
140,71,2,4,34,1,12,Харківська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
46,34,1,1,2,1,4,Херсонська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
73,47,1,1,7,1,8,Хмельницька,2010,"Чис.закл.,які мають:рентг.від.(каб)"
61,42,0,2,5,1,7,Черкаська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
48,27,1,1,7,1,3,Чернівецька,2010,"Чис.закл.,які мають:рентг.від.(каб)"
61,44,1,1,2,1,7,Чернігівська,2010,"Чис.закл.,які мають:рентг.від.(каб)"
113,26,1,9,57,0,15,м.Київ,2010,"Чис.закл.,які мають:рентг.від.(каб)"
