ndoctors,nclinic_doctors,n_cdh_doctors,region,year,category
8706.65,0,1492.75,Автономна pеспубліка Крим,2010,Всього посад лікарів (без зубних): в т.ч.
6395.5,0,2383,Вінницька,2010,Всього посад лікарів (без зубних): в т.ч.
3997.25,0,1417.75,Волинська,2010,Всього посад лікарів (без зубних): в т.ч.
14988,0,1577,Дніпропетровська,2010,Всього посад лікарів (без зубних): в т.ч.
19425.75,0,1509.5,Донецька,2010,Всього посад лікарів (без зубних): в т.ч.
5016.75,0,1634,Житомирська,2010,Всього посад лікарів (без зубних): в т.ч.
4302.25,0,797.75,Закарпатська,2010,Всього посад лікарів (без зубних): в т.ч.
8132.75,0,1216.5,Запорізька,2010,Всього посад лікарів (без зубних): в т.ч.
5900.5,0,1727.25,Івано-Франківська,2010,Всього посад лікарів (без зубних): в т.ч.
6925,0,2896.25,Київська,2010,Всього посад лікарів (без зубних): в т.ч.
3866.75,0,1237,Кіровоградська,2010,Всього посад лікарів (без зубних): в т.ч.
9717.25,0,1310,Луганська,2010,Всього посад лікарів (без зубних): в т.ч.
10616.5,0,2040.75,Львівська,2010,Всього посад лікарів (без зубних): в т.ч.
4384.75,0,1213.25,Миколаївська,2010,Всього посад лікарів (без зубних): в т.ч.
9549,0,1554,Одеська,2010,Всього посад лікарів (без зубних): в т.ч.
6079.75,0,1788.75,Полтавська,2010,Всього посад лікарів (без зубних): в т.ч.
4637.75,0,1437.5,Рівненська,2010,Всього посад лікарів (без зубних): в т.ч.
4479.75,0,1758,Сумська,2010,Всього посад лікарів (без зубних): в т.ч.
4485,0,1610,Тернопільська,2010,Всього посад лікарів (без зубних): в т.ч.
11821.25,0,2037.75,Харківська,2010,Всього посад лікарів (без зубних): в т.ч.
3892.5,0,1133.5,Херсонська,2010,Всього посад лікарів (без зубних): в т.ч.
5059.5,0,2028.5,Хмельницька,2010,Всього посад лікарів (без зубних): в т.ч.
4983.5,0,1801.5,Черкаська,2010,Всього посад лікарів (без зубних): в т.ч.
3927.25,0,1023.5,Чернівецька,2010,Всього посад лікарів (без зубних): в т.ч.
4308.25,0,1350,Чернігівська,2010,Всього посад лікарів (без зубних): в т.ч.
15599.75,0,0,м.Київ,2010,Всього посад лікарів (без зубних): в т.ч.
1982.5,0,0,м.Севастополь,2010,Всього посад лікарів (без зубних): в т.ч.
7767.15,3934.7,1310.25,Автономна pеспубліка Крим,2010,"А. В закладах, які складають звіт по ф.20"
5782,2877,2225.75,Вінницька,2010,"А. В закладах, які складають звіт по ф.20"
3675,1876.25,1331.75,Волинська,2010,"А. В закладах, які складають звіт по ф.20"
13561.25,6954.25,1496,Дніпропетровська,2010,"А. В закладах, які складають звіт по ф.20"
17553.75,9818.5,1423.25,Донецька,2010,"А. В закладах, які складають звіт по ф.20"
4660,2791.25,1577,Житомирська,2010,"А. В закладах, які складають звіт по ф.20"
3959,2247.75,710.5,Закарпатська,2010,"А. В закладах, які складають звіт по ф.20"
7334,3676.75,1188.75,Запорізька,2010,"А. В закладах, які складають звіт по ф.20"
5420,2813.75,1699.75,Івано-Франківська,2010,"А. В закладах, які складають звіт по ф.20"
6290.5,3333.75,2670.75,Київська,2010,"А. В закладах, які складають звіт по ф.20"
3622,1977,1215.5,Кіровоградська,2010,"А. В закладах, які складають звіт по ф.20"
8828.25,4900.25,1229,Луганська,2010,"А. В закладах, які складають звіт по ф.20"
9830.25,5657.5,1927.5,Львівська,2010,"А. В закладах, які складають звіт по ф.20"
4032,2036,1127,Миколаївська,2010,"А. В закладах, які складають звіт по ф.20"
8735.75,4914.75,1498.75,Одеська,2010,"А. В закладах, які складають звіт по ф.20"
5544.5,3267.75,1715.5,Полтавська,2010,"А. В закладах, які складають звіт по ф.20"
4227.5,2185,1314.5,Рівненська,2010,"А. В закладах, які складають звіт по ф.20"
4095.5,2262,1692.25,Сумська,2010,"А. В закладах, які складають звіт по ф.20"
4090.25,2234,1583.75,Тернопільська,2010,"А. В закладах, які складають звіт по ф.20"
10885,6242.25,1946.5,Харківська,2010,"А. В закладах, які складають звіт по ф.20"
3586.5,1893.75,1069.5,Херсонська,2010,"А. В закладах, які складають звіт по ф.20"
4637,2533.75,1909.5,Хмельницька,2010,"А. В закладах, які складають звіт по ф.20"
4585.75,2491.5,1708,Черкаська,2010,"А. В закладах, які складають звіт по ф.20"
3616.75,1938.25,1005.5,Чернівецька,2010,"А. В закладах, які складають звіт по ф.20"
3978,2135.5,1279,Чернігівська,2010,"А. В закладах, які складають звіт по ф.20"
14092.75,8403.25,0,м.Київ,2010,"А. В закладах, які складають звіт по ф.20"
1781.5,874.75,0,м.Севастополь,2010,"А. В закладах, які складають звіт по ф.20"
377,175.25,53.75,Автономна pеспубліка Крим,2010,з них:керівники закладів та їх заступники-лікарі
407.25,189.25,103,Вінницька,2010,з них:керівники закладів та їх заступники-лікарі
239,103,67,Волинська,2010,з них:керівники закладів та їх заступники-лікарі
605,239.5,87.5,Дніпропетровська,2010,з них:керівники закладів та їх заступники-лікарі
