nregion_hospital,nrural,ndoctors,region,year,category
135,134,359.75,Автономна pеспубліка Крим,2010,Самостійні амбулаторії та поліклін.
184,183,302,Вінницька,2010,Самостійні амбулаторії та поліклін.
86,80,156.25,Волинська,2010,Самостійні амбулаторії та поліклін.
165,153,296.25,Дніпропетровська,2010,Самостійні амбулаторії та поліклін.
141,114,336,Донецька,2010,Самостійні амбулаторії та поліклін.
196,181,284,Житомирська,2010,Самостійні амбулаторії та поліклін.
242,236,626.25,Закарпатська,2010,Самостійні амбулаторії та поліклін.
125,112,209.75,Запорізька,2010,Самостійні амбулаторії та поліклін.
128,127,398.75,Івано-Франківська,2010,Самостійні амбулаторії та поліклін.
212,205,475.25,Київська,2010,Самостійні амбулаторії та поліклін.
99,92,138.5,Кіровоградська,2010,Самостійні амбулаторії та поліклін.
93,68,143.5,Луганська,2010,Самостійні амбулаторії та поліклін.
194,183,528.25,Львівська,2010,Самостійні амбулаторії та поліклін.
99,97,138.5,Миколаївська,2010,Самостійні амбулаторії та поліклін.
157,145,353.5,Одеська,2010,Самостійні амбулаторії та поліклін.
197,196,302,Полтавська,2010,Самостійні амбулаторії та поліклін.
97,94,190.75,Рівненська,2010,Самостійні амбулаторії та поліклін.
131,125,206,Сумська,2010,Самостійні амбулаторії та поліклін.
150,149,268.5,Тернопільська,2010,Самостійні амбулаторії та поліклін.
260,232,483.25,Харківська,2010,Самостійні амбулаторії та поліклін.
88,83,130.5,Херсонська,2010,Самостійні амбулаторії та поліклін.
118,115,203.25,Хмельницька,2010,Самостійні амбулаторії та поліклін.
115,113,220,Черкаська,2010,Самостійні амбулаторії та поліклін.
127,127,269,Чернівецька,2010,Самостійні амбулаторії та поліклін.
100,96,129.25,Чернігівська,2010,Самостійні амбулаторії та поліклін.
0,0,0,м.Київ,2010,Самостійні амбулаторії та поліклін.
0,0,0,м.Севастополь,2010,Самостійні амбулаторії та поліклін.
0,0,0,Автономна pеспубліка Крим,2010,Диспансери
0,0,0,Вінницька,2010,Диспансери
0,0,0,Волинська,2010,Диспансери
0,0,0,Дніпропетровська,2010,Диспансери
5,0,34,Донецька,2010,Диспансери
0,0,0,Житомирська,2010,Диспансери
0,0,0,Закарпатська,2010,Диспансери
0,0,0,Запорізька,2010,Диспансери
0,0,0,Івано-Франківська,2010,Диспансери
0,0,0,Київська,2010,Диспансери
0,0,0,Кіровоградська,2010,Диспансери
0,0,0,Луганська,2010,Диспансери
0,0,0,Львівська,2010,Диспансери
0,0,0,Миколаївська,2010,Диспансери
0,0,0,Одеська,2010,Диспансери
1,0,6,Полтавська,2010,Диспансери
0,0,0,Рівненська,2010,Диспансери
0,0,0,Сумська,2010,Диспансери
0,0,0,Тернопільська,2010,Диспансери
3,0,24,Харківська,2010,Диспансери
0,0,0,Херсонська,2010,Диспансери
0,0,0,Хмельницька,2010,Диспансери
