nvisits,nhome_visits,region,year,category
6482332,467284,Автономна pеспубліка Крим,2010,Всього
10084938,768290,Вінницька,2010,Всього
6397764,417460,Волинська,2010,Всього
6386538,380831,Дніпропетровська,2010,Всього
9159703,585428,Донецька,2010,Всього
7809400,530970,Житомирська,2010,Всього
8481027,998006,Закарпатська,2010,Всього
5093702,345354,Запорізька,2010,Всього
8512673,876612,Івано-Франківська,2010,Всього
10226275,643241,Київська,2010,Всього
4422803,249571,Кіровоградська,2010,Всього
4551410,300817,Луганська,2010,Всього
10137667,840123,Львівська,2010,Всього
5949439,326670,Миколаївська,2010,Всього
7112370,512391,Одеська,2010,Всього
7727015,580659,Полтавська,2010,Всього
6280617,469883,Рівненська,2010,Всього
6247256,544417,Сумська,2010,Всього
8936718,807906,Тернопільська,2010,Всього
12050204,871541,Харківська,2010,Всього
4203212,274868,Херсонська,2010,Всього
7509984,476837,Хмельницька,2010,Всього
6936057,503674,Черкаська,2010,Всього
5179729,402275,Чернівецька,2010,Всього
5072055,292274,Чернігівська,2010,Всього
0,0,м.Київ,2010,Всього
38686,5768,м.Севастополь,2010,Всього
1578634,252843,Автономна pеспубліка Крим,2010,в т.ч. в сільскі жителі
766498,112228,Вінницька,2010,в т.ч. в сільскі жителі
3778916,188798,Волинська,2010,в т.ч. в сільскі жителі
3665977,199393,Дніпропетровська,2010,в т.ч. в сільскі жителі
2419652,145576,Донецька,2010,в т.ч. в сільскі жителі
4364761,261229,Житомирська,2010,в т.ч. в сільскі жителі
5273163,631776,Закарпатська,2010,в т.ч. в сільскі жителі
2382281,165154,Запорізька,2010,в т.ч. в сільскі жителі
5232809,506800,Івано-Франківська,2010,в т.ч. в сільскі жителі
3758338,264084,Київська,2010,в т.ч. в сільскі жителі
2159399,105251,Кіровоградська,2010,в т.ч. в сільскі жителі
1562837,95845,Луганська,2010,в т.ч. в сільскі жителі
6122477,496565,Львівська,2010,в т.ч. в сільскі жителі
972075,129516,Миколаївська,2010,в т.ч. в сільскі жителі
4331769,264778,Одеська,2010,в т.ч. в сільскі жителі
4284133,322738,Полтавська,2010,в т.ч. в сільскі жителі
4313581,276800,Рівненська,2010,в т.ч. в сільскі жителі
798473,128793,Сумська,2010,в т.ч. в сільскі жителі
5883462,480451,Тернопільська,2010,в т.ч. в сільскі жителі
1390797,243188,Харківська,2010,в т.ч. в сільскі жителі
1025185,140026,Херсонська,2010,в т.ч. в сільскі жителі
4362063,251913,Хмельницька,2010,в т.ч. в сільскі жителі
4131682,301638,Черкаська,2010,в т.ч. в сільскі жителі
3896439,299832,Чернівецька,2010,в т.ч. в сільскі жителі
2515215,143515,Чернігівська,2010,в т.ч. в сільскі жителі
0,0,м.Київ,2010,в т.ч. в сільскі жителі
38686,5768,м.Севастополь,2010,в т.ч. в сільскі жителі
6322079,465261,Автономна pеспубліка Крим,2011,Всього
9821311,784221,Вінницька,2011,Всього
6190684,372602,Волинська,2011,Всього
6038437,369102,Дніпропетровська,2011,Всього
9043165,566287,Донецька,2011,Всього
7750536,491175,Житомирська,2011,Всього
8251673,968126,Закарпатська,2011,Всього
4835256,330820,Запорізька,2011,Всього
9111442,935749,Івано-Франківська,2011,Всього
10944586,668948,Київська,2011,Всього
4467645,247575,Кіровоградська,2011,Всього
4450807,296011,Луганська,2011,Всього
10029217,831860,Львівська,2011,Всього
5807659,321092,Миколаївська,2011,Всього
7055765,516001,Одеська,2011,Всього
7635692,553781,Полтавська,2011,Всього
6218775,480666,Рівненська,2011,Всього
6177146,522970,Сумська,2011,Всього
8742918,774700,Тернопільська,2011,Всього
11525578,804623,Харківська,2011,Всього
4158171,264666,Херсонська,2011,Всього
7188278,449350,Хмельницька,2011,Всього
6576472,460750,Черкаська,2011,Всього
5228278,398613,Чернівецька,2011,Всього
4993105,290828,Чернігівська,2011,Всього
0,0,м.Київ,2011,Всього
20171,3109,м.Севастополь,2011,Всього
1607481,255054,Автономна pеспубліка Крим,2011,в т.ч. в сільскі жителі
2135962,327950,Вінницька,2011,в т.ч. в сільскі жителі
3672693,170931,Волинська,2011,в т.ч. в сільскі жителі
3439319,197043,Дніпропетровська,2011,в т.ч. в сільскі жителі
2359808,148754,Донецька,2011,в т.ч. в сільскі жителі
4338278,250762,Житомирська,2011,в т.ч. в сільскі жителі
5069220,601913,Закарпатська,2011,в т.ч. в сільскі жителі
2180978,152759,Запорізька,2011,в т.ч. в сільскі жителі
5569382,530459,Івано-Франківська,2011,в т.ч. в сільскі жителі
4099472,251825,Київська,2011,в т.ч. в сільскі жителі
2138518,104763,Кіровоградська,2011,в т.ч. в сільскі жителі
1648966,100605,Луганська,2011,в т.ч. в сільскі жителі
6032050,485412,Львівська,2011,в т.ч. в сільскі жителі
991437,127689,Миколаївська,2011,в т.ч. в сільскі жителі
4286150,273392,Одеська,2011,в т.ч. в сільскі жителі
4186463,299638,Полтавська,2011,в т.ч. в сільскі жителі
4290249,290673,Рівненська,2011,в т.ч. в сільскі жителі
804644,127807,Сумська,2011,в т.ч. в сільскі жителі
5793938,566686,Тернопільська,2011,в т.ч. в сільскі жителі
1641899,35416,Харківська,2011,в т.ч. в сільскі жителі
954282,127874,Херсонська,2011,в т.ч. в сільскі жителі
4182733,236336,Хмельницька,2011,в т.ч. в сільскі жителі
4005293,274742,Черкаська,2011,в т.ч. в сільскі жителі
3895278,301880,Чернівецька,2011,в т.ч. в сільскі жителі
