Region,year,polluted_dumps,not_cleaned_dumps,dumps_not_cleaned_enough,num_clearing_plants
Автономна Республіка Крим,1990,96,3,95,392
Вінницька,1990,32,5,28,96
Волинська,1990,24,0,24,83
Дніпропетровська,1990,850,238,610,1089
Донецька,1990,432,30,401,1449
Житомирська,1990,63,3,60,117
Закарпатська,1990,29,2,27,53
Запорізька,1990,168,61,106,437
Івано-Франківська,1990,72,7,65,118
Київська,1990,23,1,24,170
Кіровоградська,1990,37,0,37,233
Луганська,1990,257,43,214,749
Львівська,1990,77,4,72,386
Миколаївська,1990,75,5,71,108
Одеська,1990,134,3,131,315
Полтавська,1990,7,0,6,135
Рівненська,1990,39,0,39,122
Сумська,1990,59,1,58,110
Тернопільська,1990,9,2,7,69
Харківська,1990,339,6,333,646
Херсонська,1990,44,41,3,150
Хмельницька,1990,7,0,7,118
Черкаська,1990,59,9,49,200
Чернівецька,1990,40,1,39,66
Чернігівська,1990,7,1,6,72
Автономна Республіка Крим,1991,98,3.0,,397
Вінницька,1991,29,4.0,,88
Волинська,1991,11,1.0,,82
Дніпропетровська,1991,873,244.0,,1035
Донецька,1991,655,25.0,,1460
Житомирська,1991,69,5.0,,117
Закарпатська,1991,28,2.0,,52
Запорізька,1991,291,77.0,,420
Івано-Франківська,1991,46,6.0,,121
Київська,1991,22,1.0,,171
Кіровоградська,1991,40,0.0,,223
Луганська,1991,678,236.0,,683
Львівська,1991,61,3.0,,352
Миколаївська,1991,81,12.0,,101
Одеська,1991,108,2.0,,305
Полтавська,1991,6,0.0,,130
Рівненська,1991,35,0.0,,120
Сумська,1991,57,1.0,,91
Тернопільська,1991,20,2.0,,67
Харківська,1991,345,8.0,,659
Херсонська,1991,20,17.0,,152
Хмельницька,1991,8,1.0,,122
Черкаська,1991,64,17.0,,203
Чернівецька,1991,40,1.0,,66
Чернігівська,1991,7,1.0,,73
Автономна Республіка Крим,1992,83,2.0,,393
Вінницька,1992,23,2.0,,94
Волинська,1992,20,0.0,,84
Дніпропетровська,1992,846,220.0,,1081
Донецька,1992,1115,324.0,,1659
Житомирська,1992,61,2.0,,116
Закарпатська,1992,26,2.0,,58
Запорізька,1992,286,71.0,,877
Івано-Франківська,1992,41,7.0,,131
Київська,1992,27,0.0,,178
Кіровоградська,1992,39,0.0,,209
Луганська,1992,713,219.0,,739
Львівська,1992,50,3.0,,392
Миколаївська,1992,74,10.0,,118
Одеська,1992,159,4.0,,323
Полтавська,1992,33,0.0,,145
Рівненська,1992,24,0.0,,119
Сумська,1992,49,0.0,,135
Тернопільська,1992,11,2.0,,70
Харківська,1992,86,38.0,,637
Херсонська,1992,8,3.0,,146
Хмельницька,1992,15,0.0,,122
Черкаська,1992,51,6.0,,203
Чернівецька,1992,33,4.0,,66
Чернігівська,1992,51,0.0,,74
Автономна Республіка Крим,1993,79,2.0,76,401
Вінницька,1993,13,4.0,10,97
Волинська,1993,25,0.0,25,91
Дніпропетровська,1993,832,220.0,611,1053
Донецька,1993,1032,234.0,798,1495
Житомирська,1993,59,0.0,59,117
Закарпатська,1993,24,1.0,23,57
Запорізька,1993,357,108.0,249,412
Івано-Франківська,1993,85,6.0,78,136
Київська,1993,17,0.0,17,182
Кіровоградська,1993,36,0.0,36,215
Луганська,1993,717,178.0,539,776
Львівська,1993,53,3.0,51,390
Миколаївська,1993,84,16.0,69,122
Одеська,1993,306,161.0,146,94
Полтавська,1993,45,1.0,44,145
Рівненська,1993,33,0.0,33,124
Сумська,1993,37,0.0,37,223
Тернопільська,1993,10,2.0,8,68
Харківська,1993,395,29.0,367,636
Херсонська,1993,180,172.0,8,147
Хмельницька,1993,17,0.0,16,121
Черкаська,1993,34,7.0,26,187
Чернівецька,1993,35,5.0,30,66
Чернігівська,1993,48,0.0,48,75
Автономна Республіка Крим,1994,67,2.0,65,405
Вінницька,1994,10,3.0,6,95
Волинська,1994,44,0.0,44,84
Дніпропетровська,1994,802,174.0,628,1128
Донецька,1994,979,235.0,743,1532
Житомирська,1994,57,1.0,56,115
Закарпатська,1994,22,1.0,22,53
Запорізька,1994,343,124.0,219,882
Івано-Франківська,1994,82,4.0,78,135
