Територіальний розріз,Період,Значення cпостереження
Автономна Республіка Крим,1989,2063600.0
Автономна Республіка Крим,1990,2102400.0
Автономна Республіка Крим,1991,2146500.0
Автономна Республіка Крим,1992,2184500.0
Автономна Республіка Крим,1993,2222700.0
Автономна Республіка Крим,1994,2235500.0
Автономна Республіка Крим,1995,2221000.0
Автономна Республіка Крим,1996,2199800.0
Автономна Республіка Крим,1997,2169100.0
Автономна Республіка Крим,1998,2138600.0
Автономна Республіка Крим,1999,2109900.0
Автономна Республіка Крим,2000,2079000.0
Автономна Республіка Крим,2001,2050700.0
Автономна Республіка Крим,2002,2033736.0
Автономна Республіка Крим,2003,2018414.0
Автономна Республіка Крим,2004,2005127.0
Автономна Республіка Крим,2005,1994250.0
Автономна Республіка Крим,2006,1983825.0
Автономна Республіка Крим,2007,1977134.0
Автономна Республіка Крим,2008,1971072.0
Автономна Республіка Крим,2009,1967260.0
Автономна Республіка Крим,2010,1965305.0
Автономна Республіка Крим,2011,1963514.0
Автономна Республіка Крим,2012,1963008.0
Автономна Республіка Крим,2013,1965177.0
Автономна Республіка Крим,2014,1967259.0
Автономна Республіка Крим,2015,
Автономна Республіка Крим,2016,
Автономна Республіка Крим,2017,
Автономна Республіка Крим,2018,
Автономна Республіка Крим,2019,
Автономна Республіка Крим,2020,
Автономна Республіка Крим,2021,
Автономна Республіка Крим,2022,
Вінницька,1989,1932600.0
Вінницька,1990,1925600.0
Вінницька,1991,1914400.0
Вінницька,1992,1908400.0
Вінницька,1993,1911900.0
Вінницька,1994,1904800.0
Вінницька,1995,1889700.0
Вінницька,1996,1875200.0
Вінницька,1997,1860500.0
Вінницька,1998,1844600.0
Вінницька,1999,1828700.0
Вінницька,2000,1811000.0
Вінницька,2001,1791000.0
Вінницька,2002,1772371.0
Вінницька,2003,1753872.0
Вінницька,2004,1736236.0
Вінницька,2005,1720137.0
Вінницька,2006,1701571.0
Вінницька,2007,1686467.0
Вінницька,2008,1672217.0
Вінницька,2009,1659975.0
Вінницька,2010,1650608.0
Вінницька,2011,1641201.0
Вінницька,2012,1634187.0
Вінницька,2013,1627038.0
Вінницька,2014,1618262.0
Вінницька,2015,1610573.0
Вінницька,2016,1602163.0
Вінницька,2017,1590357.0
Вінницька,2018,1575808.0
Вінницька,2019,1560394.0
Вінницька,2020,1545416.0
Вінницька,2021,1529123.0
Вінницька,2022,1509515.0
Волинська,1989,1061200.0
Волинська,1990,1063400.0
Волинська,1991,1069000.0
Волинська,1992,1072700.0
Волинська,1993,1077600.0
Волинська,1994,1080700.0
Волинська,1995,1078300.0
Волинська,1996,1076600.0
Волинська,1997,1075100.0
Волинська,1998,1073100.0
Волинська,1999,1071500.0
Волинська,2000,1067700.0
Волинська,2001,1064000.0
Волинська,2002,1060694.0
Волинська,2003,1054700.0
Волинська,2004,1048788.0
Волинська,2005,1044777.0
Волинська,2006,1040429.0
Волинська,2007,1038028.0
Волинська,2008,1036436.0
Волинська,2009,1036221.0
Волинська,2010,1036665.0
Волинська,2011,1037149.0
Волинська,2012,1038598.0
Волинська,2013,1039958.0
Волинська,2014,1041303.0
Волинська,2015,1042918.0
Волинська,2016,1042668.0
Волинська,2017,1040954.0
Волинська,2018,1038457.0
Волинська,2019,1035330.0
Волинська,2020,1031421.0
Волинська,2021,1027397.0
Волинська,2022,1021356.0
Дніпропетровська,1989,3881200.0
Дніпропетровська,1990,3899400.0
Дніпропетровська,1991,3908700.0
Дніпропетровська,1992,3918600.0
Дніпропетровська,1993,3936400.0
Дніпропетровська,1994,3923700.0
Дніпропетровська,1995,3888800.0
Дніпропетровська,1996,3848300.0
Дніпропетровська,1997,3805000.0
Дніпропетровська,1998,3758700.0
Дніпропетровська,1999,3714900.0
Дніпропетровська,2000,3662600.0
Дніпропетровська,2001,3612600.0
Дніпропетровська,2002,3567567.0
Дніпропетровська,2003,3532814.0
Дніпропетровська,2004,3502851.0
Дніпропетровська,2005,3476176.0
Дніпропетровська,2006,3447175.0
Дніпропетровська,2007,3422913.0
Дніпропетровська,2008,3398398.0
Дніпропетровська,2009,3374228.0
Дніпропетровська,2010,3355481.0
Дніпропетровська,2011,3336504.0
Дніпропетровська,2012,3320299.0
Дніпропетровська,2013,3307795.0
Дніпропетровська,2014,3292431.0
Дніпропетровська,2015,3276637.0
Дніпропетровська,2016,3254884.0
Дніпропетровська,2017,3230411.0
Дніпропетровська,2018,3231140.0
Дніпропетровська,2019,3206477.0
Дніпропетровська,2020,3176648.0
Дніпропетровська,2021,3142035.0
Дніпропетровська,2022,3096485.0
Донецька,1989,5332400.0
Донецька,1990,5339200.0
Донецька,1991,5346700.0
Донецька,1992,5352600.0
Донецька,1993,5365800.0
Донецька,1994,5331500.0
Донецька,1995,5266900.0
Донецька,1996,5200900.0
Донецька,1997,5129400.0
Донецька,1998,5068900.0
Донецька,1999,5013100.0
Донецька,2000,4953400.0
Донецька,2001,4893600.0
Донецька,2002,4841074.0
Донецька,2003,4774372.0
Донецька,2004,4720914.0
Донецька,2005,4671903.0
Донецька,2006,4622924.0
Донецька,2007,4580557.0
Донецька,2008,4538918.0
Донецька,2009,4500477.0
Донецька,2010,4466740.0
Донецька,2011,4433011.0
Донецька,2012,4403178.0
Донецька,2013,4375442.0
Донецька,2014,4343882.0
Донецька,2015,4297250.0
Донецька,2016,4265145.0
Донецька,2017,4244057.0
Донецька,2018,4200461.0
Донецька,2019,4165901.0
Донецька,2020,4131808.0
Донецька,2021,4100280.0
Донецька,2022,4059372.0
Житомирська,1989,1545400.0
Житомирська,1990,1537500.0
Житомирська,1991,1510700.0
Житомирська,1992,1503700.0
Житомирська,1993,1510800.0
Житомирська,1994,1505900.0
Житомирська,1995,1493100.0
Житомирська,1996,1478500.0
Житомирська,1997,1462700.0
Житомирська,1998,1449400.0
Житомирська,1999,1436000.0
Житомирська,2000,1422300.0
Житомирська,2001,1406200.0
Житомирська,2002,1389466.0
Житомирська,2003,1373897.0
Житомирська,2004,1359844.0
