year,region,male,female
9,2010,Автономна pеспубліка Крим,1016,1051
10,2010,Вінницька,1505,1340
11,2010,Волинська,656,552
12,2010,Дніпропетровська,805,798
13,2010,Донецька,617,576
14,2010,Житомирська,848,692
15,2010,Закарпатська,958,706
16,2010,Запорізька,698,679
17,2010,Івано-Франківська,1035,916
18,2010,Київська,1182,1166
19,2010,Кіровоградська,744,743
20,2010,Луганська,418,332
21,2010,Львівська,1488,1232
22,2010,Миколаївська,647,551
23,2010,Одеська,1270,1224
24,2010,Полтавська,975,923
25,2010,Рівненська,713,719
26,2010,Сумська,767,669
27,2010,Тернопільська,1006,834
28,2010,Харківська,933,928
29,2010,Херсонська,687,655
30,2010,Хмельницька,1178,1092
31,2010,Черкаська,1046,925
32,2010,Чернівецька,747,584
33,2010,Чернігівська,782,679
34,2010,м.Київ,0,0
9,2011,Автономна pеспубліка Крим,959,983
10,2011,Вінницька,1464,1410
11,2011,Волинська,665,626
12,2011,Дніпропетровська,886,790
13,2011,Донецька,615,542
14,2011,Житомирська,768,772
15,2011,Закарпатська,929,779
16,2011,Запорізька,648,669
17,2011,Івано-Франківська,1057,995
18,2011,Київська,1168,1216
19,2011,Кіровоградська,811,715
20,2011,Луганська,355,330
21,2011,Львівська,1416,1207
22,2011,Миколаївська,724,636
23,2011,Одеська,1209,1253
24,2011,Полтавська,1100,1002
25,2011,Рівненська,785,817
26,2011,Сумська,743,706
27,2011,Тернопільська,945,802
28,2011,Харківська,1001,945
29,2011,Херсонська,688,666
30,2011,Хмельницька,1218,1067
31,2011,Черкаська,1044,965
32,2011,Чернівецька,743,569
33,2011,Чернігівська,790,723
34,2011,м.Київ,0,0
9,2019,АР Крим,0,0
10,2019,Вінницька,1493,1286
11,2019,Волинська,704,600
12,2019,Дніпропетровська,883,823
13,2019,Донецька,248,266
14,2019,Житомирська,693,687
15,2019,Закарпатська,956,811
16,2019,Запорізька,680,578
17,2019,Івано-Франківська,1182,1038
18,2019,Київська,1141,1272
19,2019,Кіровоградська,701,675
20,2019,Луганська,258,246
21,2019,Львівська,1573,1376
22,2019,Миколаївська,683,631
23,2019,Одеська,1010,966
24,2019,Полтавська,1028,959
25,2019,Рівненська,758,738
26,2019,Сумська,696,635
27,2019,Тернопільська,1004,823
28,2019,Харківська,937,849
29,2019,Херсонська,747,638
30,2019,Хмельницька,1027,1003
31,2019,Черкаська,1009,919
32,2019,Чернівецька,654,558
33,2019,Чернігівська,737,600
34,2019,м.Київ,0,0
9,2008,Автономна pеспубліка Крим,1047,1038
10,2008,Вінницька,1537,1308
11,2008,Волинська,681,550
12,2008,Дніпропетровська,821,761
13,2008,Донецька,559,535
14,2008,Житомирська,845,778
15,2008,Закарпатська,917,730
16,2008,Запорізька,721,618
17,2008,Івано-Франківська,1059,967
18,2008,Київська,1314,1228
19,2008,Кіровоградська,824,734
20,2008,Луганська,376,323
21,2008,Львівська,1475,1209
22,2008,Миколаївська,685,606
23,2008,Одеська,1251,1228
24,2008,Полтавська,1016,973
25,2008,Рівненська,861,763
26,2008,Сумська,723,692
27,2008,Тернопільська,1066,853
28,2008,Харківська,941,836
29,2008,Херсонська,647,608
30,2008,Хмельницька,1209,1112
31,2008,Черкаська,1034,933
32,2008,Чернівецька,739,598
33,2008,Чернігівська,822,665
34,2008,м.Київ,0,0
9,2021,АР Крим,0,0
10,2021,Вінницька,1125,999
11,2021,Волинська,664,589
12,2021,Дніпропетровська,677,668
13,2021,Донецька,143,125
14,2021,Житомирська,650,546
15,2021,Закарпатська,870,738
16,2021,Запорізька,497,474
17,2021,Івано-Франківська,1094,1033
18,2021,Київська,839,973
19,2021,Кіровоградська,545,507
20,2021,Луганська,264,225
